id	dia_semana	hora_inicio	sigla	sala
92	Ter‡a	13:00:00	PI	S/D
137	Ter‡a	14:35:00	RD24	Lab1
93	Ter‡a	14:35:00	RD2	S/D
94	Ter‡a	16:10:00	TSI	S/D
88	Segunda	13:00:00	IA	S/D
89	Segunda	14:35:00	MC	S/D
138	Segunda	14:35:00	RD24	Lab1
90	Segunda	16:10:00	ES	S/D
91	Segunda	17:45:00	MCG	S/D
95	Quarta	13:00:00	SID	S/D
139	Quarta	14:35:00	RD24	Lab1
96	Quarta	14:35:00	IPM	S/D
97	Quarta	16:10:00	MC	S/D
98	Quinta	13:00:00	ES	S/D
99	Quinta	14:35:00	MCG	S/D
100	Quinta	16:10:00	RD2	S/D
101	Sexta	13:00:00	TSI	S/D
102	Sexta	14:35:00	IA	S/D
103	Sexta	16:10:00	IPM	S/D
