--- TABLE: administradores ---
id | int(11) | NO | PRI |  | auto_increment
utilizador_id | int(11) | NO | MUL |  | 
cargo | enum('Administrador','Secretaria','Coordenador') | NO |  |  | 
bi | varchar(20) | YES |  |  | 
telefone | varchar(20) | NO |  |  | 
data_contratacao | date | YES |  |  | 
data_criacao | timestamp | NO |  | current_timestamp() | 
data_atualizacao | timestamp | NO |  | current_timestamp() | on update current_timestamp()

--- TABLE: anos ---
id | int(11) | NO | PRI |  | auto_increment
numero | tinyint(4) | NO | UNI |  | 
nome | varchar(20) | NO |  |  | 
descricao | varchar(100) | YES |  |  | 
mensalidade | decimal(10,2) | NO |  |  | 
ordem | tinyint(4) | NO |  |  | 

--- TABLE: assiduidade_professores ---
id | int(11) | NO | PRI |  | auto_increment
professor_id | int(11) | YES | MUL |  | 
turma_id | int(11) | YES |  |  | 
disciplina_id | int(11) | YES |  |  | 
data | date | YES |  |  | 
tempo | varchar(20) | YES |  |  | 
status | varchar(20) | YES |  |  | 
justificacao | text | YES |  |  | 
marcado_por | int(11) | YES |  |  | 
criado_em | timestamp | NO |  | curdate() | 

--- TABLE: avaliacoes ---
id | int(11) | NO | PRI |  | auto_increment
disciplina_id | int(11) | NO | MUL |  | 
turma_id | int(11) | NO | MUL |  | 
tipo_avaliacao_id | int(11) | NO | MUL |  | 
descricao | varchar(200) | NO |  |  | 
data_prevista | date | YES |  |  | 
data_realizacao | date | YES |  |  | 
peso | decimal(3,2) | YES |  | 1.00 | 
ano_letivo | year(4) | NO |  |  | 
semestre | tinyint(4) | YES |  | 1 | 
data_criacao | timestamp | NO |  | current_timestamp() | 

--- TABLE: comunicados ---
id | int(11) | NO | PRI |  | auto_increment
titulo | varchar(200) | NO |  |  | 
mensagem | text | NO |  |  | 
tipo | enum('Geral','Alunos','Professores','Turma','Urgente') | NO | MUL |  | 
prioridade | enum('Baixa','Normal','Alta','Urgente') | YES | MUL | Normal | 
destinatario_tipo | enum('Todos','Ano','Turma','Curso') | NO | MUL |  | 
destinatario_id | int(11) | YES |  |  | 
anexo | varchar(255) | YES |  |  | 
criado_por | int(11) | NO | MUL |  | 
data_criacao | timestamp | NO |  | current_timestamp() | 
data_publicacao | datetime | NO | MUL |  | 
data_expiracao | date | YES |  |  | 
agendado | tinyint(1) | YES |  | 0 | 
ativo | tinyint(1) | YES |  | 1 | 

--- TABLE: comunicados_leituras ---
